,question_number,question_text,question_subtext,body_text
0,QUESTION 1,THE NATURE AND EXTENT OF SACRED DOCTRINE,in Ten Articles,"To place our purpose within proper limits, we first endeavor to
investigate the nature and extent of this sacred doctrine. Concerning
this there are ten points of inquiry:

(1) Whether it is necessary?

(2) Whether it is a science?

(3) Whether it is one or many?

(4) Whether it is speculative or practical?

(5) How it is compared with other sciences?

(6) Whether it is the same as wisdom?

(7) Whether God is its subject-matter?

(8) Whether it is a matter of argument?

(9) Whether it rightly employs metaphors and similes?

(10) Whether the Sacred Scripture of this doctrine may be expounded
in different senses?
"
1,QUESTION 2,THE EXISTENCE OF GOD,In Three Articles,"Because the chief aim of sacred doctrine is to teach the knowledge of
God, not only as He is in Himself, but also as He is the beginning of
things and their last end, and especially of rational creatures, as is
clear from what has been already said, therefore, in our endeavor to
expound this science, we shall treat:

(1) Of God;

(2) Of the rational creature's advance towards God;

(3) Of Christ, Who as man, is our way to God.

In treating of God there will be a threefold division, for we shall
consider:

(1) Whatever concerns the Divine Essence;

(2) Whatever concerns the distinctions of Persons;

(3) Whatever concerns the procession of creatures from Him.

Concerning the Divine Essence, we must consider:

(1) Whether God exists?

(2) The manner of His existence, or, rather, what is _not_ the
manner of His existence;

(3) Whatever concerns His operations--namely, His knowledge, will,
power.

Concerning the first, there are three points of inquiry:

(1) Whether the proposition ""God exists"" is self-evident?

(2) Whether it is demonstrable?

(3) Whether God exists?
"
2,QUESTION 3,OF THE SIMPLICITY OF GOD,In Eight Articles,"When the existence of a thing has been ascertained there remains the
further question of the manner of its existence, in order that we may
know its essence. Now, because we cannot know what God is, but rather
what He is not, we have no means for considering how God is, but
rather how He is not.

Therefore, we must consider:

(1) How He is not;

(2) How He is known by us;

(3) How He is named.

Now it can be shown how God is not, by denying Him whatever is opposed
to the idea of Him, viz. composition, motion, and the like. Therefore

(1) we must discuss His simplicity, whereby we deny composition in
Him; and because whatever is simple in material things is imperfect
and a part of something else, we shall discuss (2) His perfection;
(3) His infinity; (4) His immutability; (5) His unity.

Concerning His simplicity, there are eight points of inquiry:

(1) Whether God is a body?

(2) Whether He is composed of matter and form?

(3) Whether in Him there is composition of quiddity, essence
or nature, and subject?

(4) Whether He is composed of essence and existence?

(5) Whether He is composed of genus and difference?

(6) Whether He is composed of subject and accident?

(7) Whether He is in any way composite, or wholly simple?

(8) Whether He enters into composition with other things?
"
3,QUESTION 4,THE PERFECTION OF GOD,In Three Articles,"Having considered the divine simplicity, we treat next of God's
perfection. Now because everything in so far as it is perfect is
called good, we shall speak first of the divine perfection; secondly
of the divine goodness.

Concerning the first there are three points of inquiry:

(1) Whether God is perfect?

(2) Whether God is perfect universally, as having in Himself the
perfections of all things?

(3) Whether creatures can be said to be like God?
"
4,QUESTION 5,OF GOODNESS IN GENERAL,In Six Articles,"We next consider goodness: First, goodness in general. Secondly, the
goodness of God.

Under the first head there are six points of inquiry:

(1) Whether goodness and being are the same really?

(2) Granted that they differ only in idea, which is prior in thought?

(3) Granted that being is prior, whether every being is good?

(4) To what cause should goodness be reduced?

(5) Whether goodness consists in mode, species, and order?

(6) Whether goodness is divided into the virtuous, the useful, and the
pleasant?
"
5,QUESTION 6,THE GOODNESS OF GOD,In Four Articles,"We next consider the goodness of God; under which head there are four
points of inquiry:

(1) Whether goodness belongs to God?

(2) Whether God is the supreme good?

(3) Whether He alone is essentially good?

(4) Whether all things are good by the divine goodness?
"
6,QUESTION 7,THE INFINITY OF GOD,In Four Articles,"After considering the divine perfection we must consider the divine
infinity, and God's existence in things: for God is everywhere, and in
all things, inasmuch as He is boundless and infinite.

Concerning the first, there are four points of inquiry:

(1) Whether God is infinite?

(2) Whether anything besides Him is infinite in essence?

(3) Whether anything can be infinitude in magnitude?

(4) Whether an infinite multitude can exist?
"
7,QUESTION 8,THE EXISTENCE OF GOD IN THINGS,In Four Articles,"Since it evidently belongs to the infinite to be present everywhere,
and in all things, we now consider whether this belongs to God; and
concerning this there arise four points of inquiry:

(1) Whether God is in all things?

(2) Whether God is everywhere?

(3) Whether God is everywhere by essence, power, and presence?

(4) Whether to be everywhere belongs to God alone?
"
8,QUESTION 9,THE IMMUTABILITY OF GOD,In Two Articles,"We next consider God's immutability, and His eternity following on His
immutability. On the immutability of God there are two points of
inquiry:

(1) Whether God is altogether immutable?

(2) Whether to be immutable belongs to God alone?
"
9,QUESTION 10,THE ETERNITY OF GOD,In Six Articles,"We must now consider the eternity of God, concerning which arise six
points of inquiry:

(1) What is eternity?

(2) Whether God is eternal?

(3) Whether to be eternal belongs to God alone?

(4) Whether eternity differs from time?

(5) The difference of aeviternity and of time.

(6) Whether there is only one aeviternity, as there is one time, and
one eternity?
"
10,QUESTION 11,THE UNITY OF GOD,In Four Articles,"After the foregoing, we consider the divine unity; concerning which
there are four points of inquiry:

(1) Whether ""one"" adds anything to ""being""?

(2) Whether ""one"" and ""many"" are opposed to each other?

(3) Whether God is one?

(4) Whether He is in the highest degree one?
"
11,QUESTION 12,HOW GOD IS KNOWN BY US,In Thirteen Articles,"As hitherto we have considered God as He is in Himself, we now go on
to consider in what manner He is in the knowledge of creatures;
concerning which there are thirteen points of inquiry:

(1) Whether any created intellect can see the essence of God?

(2) Whether the essence of God is seen by the intellect through any
created image?

(3) Whether the essence of God can be seen by the corporeal eye?

(4) Whether any created intellectual substance is sufficient by its
own natural powers to see the essence of God?

(5) Whether the created intellect needs any created light in order
to see the essence of God?

(6) Whether of those who see God, one sees Him more perfectly than
another?

(7) Whether any created intellect can comprehend the essence of God?

(8) Whether the created intellect seeing the essence of God, knows
all things in it?

(9) Whether what is there known is known by any similitudes?

(10) Whether the created intellect knows at once what it sees in God?

(11) Whether in the state of this life any man can see the essence of
God?

(12) Whether by natural reason we can know God in this life?

(13) Whether there is in this life any knowledge of God through grace
above the knowledge of natural reason?
"
