,question_number,question_text,question_subtext,body_text
0,QUESTION 1,OF MAN'S LAST END,In Eight Articles,"In this matter we shall consider first the last end of human life;
and secondly, those things by means of which man may advance towards
this end, or stray from the path: for the end is the rule of whatever
is ordained to the end. And since the last end of human life is
stated to be happiness, we must consider (1) the last end in general;
(2) happiness.

Under the first head there are eight points of inquiry:

(1) Whether it belongs to man to act for an end?

(2) Whether this is proper to the rational nature?

(3) Whether a man's actions are specified by their end?

(4) Whether there is any last end of human life?

(5) Whether one man can have several last ends?

(6) Whether man ordains all to the last end?

(7) Whether all men have the same last end?

(8) Whether all other creatures concur with man in that last end?
"
1,QUESTION 2,OF THOSE THINGS IN WHICH MAN'S HAPPINESS CONSISTS,In Eight Articles,"We have now to consider happiness: and (1) in what it consists; (2)
what it is; (3) how we can obtain it.

Concerning the first there are eight points of inquiry:

(1) Whether happiness consists in wealth?

(2) Whether in honor?

(3) Whether in fame or glory?

(4) Whether in power?

(5) Whether in any good of the body?

(6) Whether in pleasure?

(7) Whether in any good of the soul?

(8) Whether in any created good?
"
2,QUESTION 3,WHAT IS HAPPINESS,In Eight Articles,"We have now to consider (1) what happiness is, and (2) what things
are required for it.

Concerning the first there are eight points of inquiry:

(1) Whether happiness is something uncreated?

(2) If it be something created, whether it is an operation?

(3) Whether it is an operation of the sensitive, or only of the
intellectual part?

(4) If it be an operation of the intellectual part, whether it is an
operation of the intellect, or of the will?

(5) If it be an operation of the intellect, whether it is an
operation of the speculative or of the practical intellect?

(6) If it be an operation of the speculative intellect, whether it
consists in the consideration of speculative sciences?

(7) Whether it consists in the consideration of separate substances
viz. angels?

(8) Whether it consists in the sole contemplation of God seen in His
Essence?
"
3,QUESTION 4,OF THOSE THINGS THAT ARE REQUIRED FOR HAPPINESS,In Eight Articles,"We have now to consider those things that are required for happiness:
and concerning this there are eight points of inquiry:

(1) Whether delight is required for happiness?

(2) Which is of greater account in happiness, delight or vision?

(3) Whether comprehension is required?

(4) Whether rectitude of the will is required?

(5) Whether the body is necessary for man's happiness?

(6) Whether any perfection of the body is necessary?

(7) Whether any external goods are necessary?

(8) Whether the fellowship of friends is necessary?
"
4,QUESTION 5,OF THE ATTAINMENT OF HAPPINESS,In Eight Articles,"We must now consider the attainment of Happiness. Under this heading
there are eight points of inquiry:

(1) Whether man can attain Happiness?

(2) Whether one man can be happier than another?

(3) Whether any man can be happy in this life?

(4) Whether Happiness once had can be lost?

(5) Whether man can attain Happiness by means of his natural powers?

(6) Whether man attains Happiness through the action of some higher
creature?

(7) Whether any actions of man are necessary in order that man may
obtain Happiness of God?

(8) Whether every man desires Happiness?
"
5,QUESTION 6,OF THE VOLUNTARY AND THE INVOLUNTARY,In Eight Articles,"Since therefore Happiness is to be gained by means of certain acts,
we must in due sequence consider human acts, in order to know by what
acts we may obtain Happiness, and by what acts we are prevented from
obtaining it. But because operations and acts are concerned with
things singular, consequently all practical knowledge is incomplete
unless it take account of things in detail. The study of Morals,
therefore, since it treats of human acts, should consider first the
general principles; and secondly matters of detail.

In treating of the general principles, the points that offer
themselves for our consideration are (1) human acts themselves; (2)
their principles. Now of human acts some are proper to man; others
are common to man and animals. And since Happiness is man's proper
good, those acts which are proper to man have a closer connection
with Happiness than have those which are common to man and the other
animals. First, then, we must consider those acts which are proper to
man; secondly, those acts which are common to man and the other
animals, and are called Passions. The first of these points offers a
twofold consideration: (1) What makes a human act? (2) What
distinguishes human acts?

And since those acts are properly called human which are voluntary,
because the will is the rational appetite, which is proper to man; we
must consider acts in so far as they are voluntary.

First, then, we must consider the voluntary and involuntary in
general; secondly, those acts which are voluntary, as being elicited
by the will, and as issuing from the will immediately; thirdly, those
acts which are voluntary, as being commanded by the will, which issue
from the will through the medium of the other powers.

And because voluntary acts have certain circumstances, according to
which we form our judgment concerning them, we must first consider
the voluntary and the involuntary, and afterwards, the circumstances
of those acts which are found to be voluntary or involuntary. Under
the first head there are eight points of inquiry:

(1) Whether there is anything voluntary in human acts?

(2) Whether in irrational animals?

(3) Whether there can be voluntariness without any action?

(4) Whether violence can be done to the will?

(5) Whether violence causes involuntariness?

(6) Whether fear causes involuntariness?

(7) Whether concupiscence causes involuntariness?

(8) Whether ignorance causes involuntariness?
"
6,QUESTION 7,OF THE CIRCUMSTANCES OF HUMAN ACTS,In Four Articles,"We must now consider the circumstances of human acts: under which head
there are four points of inquiry:

(1) What is a circumstance?

(2) Whether a theologian should take note of the circumstances of
human acts?

(3) How many circumstances are there?

(4) Which are the most important of them?
"
7,QUESTION 8,"OF THE WILL, IN REGARD TO WHAT IT WILLS",In Three Articles,"We must now consider the different acts of the will; and in the first
place, those acts which belong to the will itself immediately, as
being elicited by the will; secondly, those acts which are commanded
by the will.

Now the will is moved to the end, and to the means to the end; we must
therefore consider: (1) those acts of the will whereby it is moved to
the end; and (2) those whereby it is moved to the means. And since it
seems that there are three acts of the will in reference to the end;
viz. ""volition,"" ""enjoyment,"" and ""intention""; we must consider: (1)
volition; (2) enjoyment; (3) intention. Concerning the first, three
things must be considered:

(1) Of what things is the will?

(2) By what is the will moved?

(3) How is it moved?

Under the first head there are three points of inquiry:

(1) Whether the will is of good only?

(2) Whether it is of the end only, or also of the means?

(3) If in any way it be of the means, whether it be moved to the end
and to the means, by the same movement?
"
8,QUESTION 9,OF THAT WHICH MOVES THE WILL,In Six Articles,"We must now consider what moves the will: and under this head there
are six points of inquiry:

(1) Whether the will is moved by the intellect?

(2) Whether it is moved by the sensitive appetite?

(3) Whether the will moves itself?

(4) Whether it is moved by an extrinsic principle?

(5) Whether it is moved by a heavenly body?

(6) Whether the will is moved by God alone as by an extrinsic
principle?
"
9,QUESTION 10,OF THE MANNER IN WHICH THE WILL IS MOVED,In Four Articles,"We must now consider the manner in which the will is moved. Under
this head there are four points of inquiry:

(1) Whether the will is moved to anything naturally?

(2) Whether it is moved of necessity by its object?

(3) Whether it is moved of necessity by the lower appetite?

(4) Whether it is moved of necessity by the exterior mover which is
God?
"
10,QUESTION 11,"OF ENJOYMENT OR FRUITION, WHICH IS AN ACT OF THE WILL",In Four Articles,"We must now consider enjoyment: concerning which there are four
points of inquiry:

(1) Whether to enjoy is an act of the appetitive power?

(2) Whether it belongs to the rational creature alone, or also to
irrational animals?

(3) Whether enjoyment is only of the last end?

(4) Whether it is only of the end possessed?
"
11,QUESTION 12,OF INTENTION,In Five Articles,"We must now consider Intention: concerning which there are five
points of inquiry:

(1) Whether intention is an act of intellect or of the will?

(2) Whether it is only of the last end?

(3) Whether one can intend two things at the same time?

(4) Whether intention of the end is the same act as volition of the
means?

(5) Whether intention is within the competency of irrational animals?
"
12,QUESTION 13,"OF CHOICE, WHICH IS AN ACT OF THE WILL WITH REGARD TO THE MEANS",In Six Articles,"We must now consider the acts of the will with regard to the means.
There are three of them: to choose, to consent, and to use. And choice
is preceded by counsel. First of all, then, we must consider choice:
secondly, counsel; thirdly, consent; fourthly, use.

Concerning choice there are six points of inquiry:

(1) Of what power is it the act; of the will or of the reason?

(2) Whether choice is to be found in irrational animals?

(3) Whether choice is only the means, or sometimes also of the end?

(4) Whether choice is only of things that we do ourselves?

(5) Whether choice is only of possible things?

(6) Whether man chooses of necessity or freely?
"
13,QUESTION 14,"OF COUNSEL, WHICH PRECEDES CHOICE",In Six Articles,"We must now consider counsel; concerning which there are six points of
inquiry:

(1) Whether counsel is an inquiry?

(2) Whether counsel is of the end or of the means?

(3) Whether counsel is only of things that we do?

(4) Whether counsel is of all things that we do?

(5) Whether the process of counsel is one of analysis?

(6) Whether the process of counsel is indefinite?
"
