,question_number,question_text,question_subtext,body_text
0,QUESTION 1,OF FAITH,In Ten Articles,"Having to treat now of the theological virtues, we shall begin with
Faith, secondly we shall speak of Hope, and thirdly, of Charity.

The treatise on Faith will be fourfold: (1) Of faith itself; (2) Of
the corresponding gifts, knowledge and understanding; (3) Of the
opposite vices; (4) Of the precepts pertaining to this virtue.

About faith itself we shall consider: (1) its object; (2) its act;
(3) the habit of faith.

Under the first head there are ten points of inquiry:

(1) Whether the object of faith is the First Truth?

(2) Whether the object of faith is something complex or incomplex,
i.e. whether it is a thing or a proposition?

(3) Whether anything false can come under faith?

(4) Whether the object of faith can be anything seen?

(5) Whether it can be anything known?

(6) Whether the things to be believed should be divided into a
certain number of articles?

(7) Whether the same articles are of faith for all times?

(8) Of the number of articles;

(9) Of the manner of embodying the articles in a symbol;

(10) Who has the right to propose a symbol of faith?
"
1,QUESTION 2,OF THE ACT OF FAITH,In Ten Articles,"We must now consider the act of faith, and (1) the internal act;
(2) the external act.

Under the first head there are ten points of inquiry:

(1) What is ""to believe,"" which is the internal act of faith?

(2) In how many ways is it expressed?

(3) Whether it is necessary for salvation to believe in anything
above natural reason?

(4) Whether it is necessary to believe those things that are
attainable by natural reason?

(5) Whether it is necessary for salvation to believe certain things
explicitly?

(6) Whether all are equally bound to explicit faith?

(7) Whether explicit faith in Christ is always necessary for
salvation?

(8) Whether it is necessary for salvation to believe in the Trinity
explicitly?

(9) Whether the act of faith is meritorious?

(10) Whether human reason diminishes the merit of faith?
"
2,QUESTION 3,OF THE OUTWARD ACT OF FAITH,In Two Articles,"We must now consider the outward act, viz. the confession of faith:
under which head there are two points of inquiry:

(1) Whether confession is an act of faith?

(2) Whether confession of faith is necessary for salvation?
"
3,QUESTION 4,OF THE VIRTUE ITSELF OF FAITH,In Eight Articles,"We must now consider the virtue itself of faith, and, in the first
place, faith itself; secondly, those who have faith; thirdly, the
cause of faith; fourthly, its effects.

Under the first head there are eight points of inquiry:

(1) What is faith?

(2) In what power of the soul does it reside?

(3) Whether its form is charity?

(4) Whether living (_formata_) faith and lifeless (_informis_) faith
are one identically?

(5) Whether faith is a virtue?

(6) Whether it is one virtue?

(7) Of its relation to the other virtues;

(8) Of its certitude as compared with the certitude of the
intellectual virtues.
"
4,QUESTION 5,OF THOSE WHO HAVE FAITH,In Four Articles,"We must now consider those who have faith: under which head there are
four points of inquiry:

(1) Whether there was faith in the angels, or in man, in their
original state?

(2) Whether the demons have faith?

(3) Whether those heretics who err in one article, have faith in
others?

(4) Whether among those who have faith, one has it more than another?
"
5,QUESTION 6,OF THE CAUSE OF FAITH,In Two Articles,"We must now consider the cause of faith, under which head there are
two points of inquiry:

(1) Whether faith is infused into man by God?

(2) Whether lifeless faith is a gift of God?
"
6,QUESTION 7,OF THE EFFECTS OF FAITH,In Two Articles,"We must now consider the effects of faith: under which head there
are two points of inquiry:

(1) Whether fear is an effect of faith?

(2) Whether the heart is purified by faith?
"
7,QUESTION 8,OF THE GIFT OF UNDERSTANDING,In Eight Articles,"We must now consider the gifts of understanding and knowledge, which
respond to the virtue of faith. With regard to the gift of
understanding there are eight points of inquiry:

(1) Whether understanding is a gift of the Holy Ghost?

(2) Whether it can be together with faith in the same person?

(3) Whether the understanding which is a gift of the Holy Ghost, is
only speculative, or practical also?

(4) Whether all who are in a state of grace have the gift of
understanding?

(5) Whether this gift is to be found in those who are without grace?

(6) Of the relationship of the gift of understanding to the other
gifts.

(7) Which of the beatitudes corresponds to this gift?

(8) Which of the fruits?
"
8,QUESTION 9,OF THE GIFT OF KNOWLEDGE,In Four Articles,"We must now consider the gift of knowledge, under which head there are
four points of inquiry:

(1) Whether knowledge is a gift?

(2) Whether it is about Divine things?

(3) Whether it is speculative or practical?

(4) Which beatitude responds to it?
"
9,QUESTION 10,OF UNBELIEF IN GENERAL,In Twelve Articles,"In due sequence we must consider the contrary vices: first, unbelief,
which is contrary to faith; secondly, blasphemy, which is opposed to
confession of faith; thirdly, ignorance and dulness of mind, which
are contrary to knowledge and understanding.

As to the first, we must consider (1) unbelief in general;
(2) heresy; (3) apostasy from the faith.

Under the first head there are twelve points of inquiry:

(1) Whether unbelief is a sin?

(2) What is its subject?

(3) Whether it is the greatest of sins?

(4) Whether every action of unbelievers is a sin?

(5) Of the species of unbelief;

(6) Of their comparison, one with another;

(7) Whether we ought to dispute about faith with unbelievers?

(8) Whether they ought to be compelled to the faith?

(9) Whether we ought to have communications with them?

(10) Whether unbelievers can have authority over Christians?

(11) Whether the rites of unbelievers should be tolerated?

(12) Whether the children of unbelievers are to be baptized against
their parents' will?
"
10,QUESTION 11,OF HERESY,In Four Articles,"We must now consider heresy: under which head there are four points of
inquiry:

(1) Whether heresy is a kind of unbelief?

(2) Of the matter about which it is;

(3) Whether heretics should be tolerated?

(4) Whether converts should be received?
"
11,QUESTION 12,OF APOSTASY,In Two Articles,"We must now consider apostasy: about which there are two points of
inquiry:

(1) Whether apostasy pertains to unbelief?

(2) Whether, on account of apostasy from the faith, subjects are
absolved from allegiance to an apostate prince?
"
12,QUESTION 13,"OF THE SIN OF BLASPHEMY, IN GENERAL",In Four Articles,"We must now consider the sin of blasphemy, which is opposed to the
confession of faith; and (1) blasphemy in general, (2) that blasphemy
which is called the sin against the Holy Ghost.

Under the first head there are four points of inquiry:

(1) Whether blasphemy is opposed to the confession of faith?

(2) Whether blasphemy is always a mortal sin?

(3) Whether blasphemy is the most grievous sin?

(4) Whether blasphemy is in the damned?
"
13,QUESTION 14,OF BLASPHEMY AGAINST THE HOLY GHOST,In Four Articles,"We must now consider in particular blasphemy against the Holy Ghost:
under which head there are four points of inquiry:

(1) Whether blasphemy or the sin against the Holy Ghost is the same
as the sin committed through certain malice?

(2) Of the species of this sin;

(3) Whether it can be forgiven?

(4) Whether it is possible to begin by sinning against the Holy Ghost
before committing other sins?
"
14,QUESTION 15,OF THE VICES OPPOSED TO KNOWLEDGE AND UNDERSTANDING,In Three Articles,"We must now consider the vices opposed to knowledge and
understanding. Since, however, we have treated of ignorance which
is opposed to knowledge, when we were discussing the causes of sins
(I-II, Q. 76), we must now inquire about blindness of mind and
dulness of sense, which are opposed to the gift of understanding;
and under this head there are three points of inquiry:

(1) Whether blindness of mind is a sin?

(2) Whether dulness of sense is a sin distinct from blindness of
mind?

(3) Whether these vices arise from sins of the flesh?
"
15,QUESTION 16,"OF THE PRECEPTS OF FAITH, KNOWLEDGE AND UNDERSTANDING",In Two Articles,"We must now consider the precepts pertaining to the aforesaid, and
under this head there are two points of inquiry:

(1) The precepts concerning faith;

(2) The precepts concerning the gifts of knowledge and understanding.
"
16,QUESTION 17,"OF HOPE, CONSIDERED IN ITSELF",In Eight Articles,"After treating of faith, we must consider hope and (1) hope itself;
(2) the gift of fear; (3) the contrary vices; (4) the corresponding
precepts. The first of these points gives rise to a twofold
consideration: (1) hope, considered in itself; (2) its subject.

Under the first head there are eight points of inquiry:

(1) Whether hope is a virtue?

(2) Whether its object is eternal happiness?

(3) Whether, by the virtue of hope, one man may hope for another's
happiness?

(4) Whether a man may lawfully hope in man?

(5) Whether hope is a theological virtue?

(6) Of its distinction from the other theological virtues?

(7) Of its relation to faith;

(8) Of its relation to charity.
"
17,QUESTION 18,OF THE SUBJECT OF HOPE,In Four Articles,"We must now consider the subject of hope, under which head there are
four points of inquiry:

(1) Whether the virtue of hope is in the will as its subject?

(2) Whether it is in the blessed?

(3) Whether it is in the damned?

(4) Whether there is certainty in the hope of the wayfarer?
"
18,QUESTION 19,OF THE GIFT OF FEAR,In Twelve Articles,"We must now consider the gift of fear, about which there are twelve
points of inquiry:

(1) Whether God is to be feared?

(2) Of the division of fear into filial, initial, servile and worldly;

(3) Whether worldly fear is always evil?

(4) Whether servile fear is good?

(5) Whether it is substantially the same as filial fear?

(6) Whether servile fear departs when charity comes?

(7) Whether fear is the beginning of wisdom?

(8) Whether initial fear is substantially the same as filial fear?

(9) Whether fear is a gift of the Holy Ghost?

(10) Whether it grows when charity grows?

(11) Whether it remains in heaven?

(12) Which of the beatitudes and fruits correspond to it?
"
19,QUESTION 20,OF DESPAIR,In Four Articles,"We must now consider the contrary vices; (1) despair; (2) presumption.
Under the first head there are four points of inquiry:

(1) Whether despair is a sin?

(2) Whether it can be without unbelief?

(3) Whether it is the greatest of sins?

(4) Whether it arises from sloth?
"
20,QUESTION 21,OF PRESUMPTION,In Four Articles,"We must now consider presumption, under which head there are four
points of inquiry:

(1) What is the object in which presumption trusts?

(2) Whether presumption is a sin?

(3) To what is it opposed?

(4) From what vice does it arise?
"
21,QUESTION 22,OF THE PRECEPTS RELATING TO HOPE AND FEAR,In Two Articles,"We must now consider the precepts relating to hope and fear: under
which head there are two points of inquiry:

(1) The precepts relating to hope;

(2) The precepts relating to fear.
"
22,QUESTION 23,"OF CHARITY, CONSIDERED IN ITSELF",In Eight Articles,"In proper sequence, we must consider charity; and (1) charity itself;
(2) the corresponding gift of wisdom. The first consideration will be
fivefold: (1) Charity itself; (2) The object of charity; (3) Its
acts; (4) The opposite vices; (5) The precepts relating thereto.

The first of these considerations will be twofold: (1) Charity,
considered as regards itself; (2) Charity, considered in its relation
to its subject. Under the first head there are eight points of
inquiry:

(1) Whether charity is friendship?

(2) Whether it is something created in the soul?

(3) Whether it is a virtue?

(4) Whether it is a special virtue?

(5) Whether it is one virtue?

(6) Whether it is the greatest of the virtues?

(7) Whether any true virtue is possible without it?

(8) Whether it is the form of the virtues?
"
23,QUESTION 24,OF THE SUBJECT OF CHARITY,In Twelve Articles,"We must now consider charity in relation to its subject, under which
head there are twelve points of inquiry:

(1) Whether charity is in the will as its subject?

(2) Whether charity is caused in man by preceding acts or by a Divine
infusion?

(3) Whether it is infused according to the capacity of our natural
gifts?

(4) Whether it increases in the person who has it?

(5) Whether it increases by addition?

(6) Whether it increases by every act?

(7) Whether it increases indefinitely?

(8) Whether the charity of a wayfarer can be perfect?

(9) Of the various degrees of charity;

(10) Whether charity can diminish?

(11) Whether charity can be lost after it has been possessed?

(12) Whether it is lost through one mortal sin?
"
24,QUESTION 25,OF THE OBJECT OF CHARITY,In Twelve Articles,"We must now consider the object of charity; which consideration will
be twofold: (1) The things we ought to love out of charity: (2) The
order in which they ought to be loved. Under the first head there
are twelve points of inquiry:

(1) Whether we should love God alone, out of charity, or should we
love our neighbor also?

(2) Whether charity should be loved out of charity?

(3) Whether irrational creatures ought to be loved out of charity?

(4) Whether one may love oneself out of charity?

(5) Whether one's own body?

(6) Whether sinners should be loved out of charity?

(7) Whether sinners love themselves?

(8) Whether we should love our enemies out of charity?

(9) Whether we are bound to show them tokens of friendship?

(10) Whether we ought to love the angels out of charity?

(11) Whether we ought to love the demons?

(12) How to enumerate the things we are bound to love out of charity.
"
25,QUESTION 26,OF THE ORDER OF CHARITY,In Thirteen Articles,"We must now consider the order of charity, under which head there are
thirteen points of inquiry:

(1) Whether there is an order in charity?

(2) Whether man ought to love God more than his neighbor?

(3) Whether more than himself?

(4) Whether he ought to love himself more than his neighbor?

(5) Whether man ought to love his neighbor more than his own body?

(6) Whether he ought to love one neighbor more than another?

(7) Whether he ought to love more, a neighbor who is better, or one
who is more closely united to him?

(8) Whether he ought to love more, one who is akin to him by blood, or
one who is united to him by other ties?

(9) Whether, out of charity, a man ought to love his son more than his
father?

(10) Whether he ought to love his mother more than his father?

(11) Whether he ought to love his wife more than his father or mother?

(12) Whether we ought to love those who are kind to us more than those
whom we are kind to?

(13) Whether the order of charity endures in heaven?
"
26,QUESTION 27,"OF THE PRINCIPAL ACT OF CHARITY, WHICH IS TO LOVE",In Eight Articles,"We must now consider the act of charity, and (1) the principal act of
charity, which is to love, (2) the other acts or effects which follow
from that act.

Under the first head there are eight points of inquiry:

(1) Which is the more proper to charity, to love or to be loved?

(2) Whether to love considered as an act of charity is the same as
goodwill?

(3) Whether God should be loved for His own sake?

(4) Whether God can be loved immediately in this life?

(5) Whether God can be loved wholly?

(6) Whether the love of God is according to measure?

(7) Which is the better, to love one's friend, or one's enemy?

(8) Which is the better, to love God, or one's neighbor?
"
27,QUESTION 28,OF JOY,In Four Articles,"We must now consider the effects which result from the principal act
of charity which is love, and (1) the interior effects, (2) the
exterior effects. As to the first, three things have to be considered:
(1) Joy, (2) Peace, (3) Mercy.

Under the first head there are four points of inquiry:

(1) Whether joy is an effect of charity?

(2) Whether this kind of joy is compatible with sorrow?

(3) Whether this joy can be full?

(4) Whether it is a virtue?
"
28,QUESTION 29,OF PEACE,Four Articles,"We must now consider Peace, under which head there are four points of
inquiry:

(1) Whether peace is the same as concord?

(2) Whether all things desire peace?

(3) Whether peace is an effect of charity?

(4) Whether peace is a virtue?
"
29,QUESTION 30,OF MERCY*,In Four Articles,"[*The one Latin word ""misericordia"" signifies either pity or mercy. The distinction between these two is that pity may stand either for the act or for the virtue, whereas mercy stands only for the virtue.]

We must now go on to consider Mercy, under which head there are four
points of inquiry:

(1) Whether evil is the cause of mercy on the part of the person
pitied?

(2) To whom does it belong to pity?

(3) Whether mercy is a virtue?

(4) Whether it is the greatest of virtues?
"
30,QUESTION 31,OF BENEFICENCE,In Four Articles,"We must now consider the outward acts or effects of charity,
(1) Beneficence, (2) Almsdeeds, which are a part of beneficence,
(3) Fraternal correction, which is a kind of alms.

Under the first head there are four points of inquiry:

(1) Whether beneficence is an act of charity?

(2) Whether we ought to be beneficent to all?

(3) Whether we ought to be more beneficent to those who are more
closely united to us?

(4) Whether beneficence is a special virtue?
"
31,QUESTION 32,OF ALMSDEEDS,In Ten Articles,"We must now consider almsdeeds, under which head there are ten points
of inquiry:

(1) Whether almsgiving is an act of charity?

(2) Of the different kinds of alms;

(3) Which alms are of greater account, spiritual or corporal?

(4) Whether corporal alms have a spiritual effect?

(5) Whether the giving of alms is a matter of precept?

(6) Whether corporal alms should be given out of the things we need?

(7) Whether corporal alms should be given out of ill-gotten goods?

(8) Who can give alms?

(9) To whom should we give alms?

(10) How should alms be given?
"
32,QUESTION 33,OF FRATERNAL CORRECTION,In Eight Articles,"We must now consider Fraternal Correction, under which head there are
eight points of inquiry:

(1) Whether fraternal correction is an act of charity?

(2) Whether it is a matter of precept?

(3) Whether this precept binds all, or only superiors?

(4) Whether this precept binds the subject to correct his superior?

(5) Whether a sinner may correct anyone?

(6) Whether one ought to correct a person who becomes worse through
being corrected?

(7) Whether secret correction should precede denouncement?

(8) Whether witnesses should be called before denouncement?
"
